name,predicted_categorie,total_weighted_score,num_reviews,average_score,label
"Amazon Fire Tv Kindle Dx Leather Cover, Black (fits 9.7 Display, Latest and 2nd Generation Kindle Dxs)"",,",Amazon Echo White,5,1,5.0,best
Echo (Black) Echo (Black),Amazon Echo White,15,3,5.0,best
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",Amazon Echo White,30,6,5.0,best
"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",Amazon Echo White,329,67,4.91044776119403,worst
Echo (White) Echo (White),Amazon Echo White,16031,3309,4.844666062254458,worst
"Kindle Dx Leather Cover, Black (fits 9.7 Display, Latest and 2nd Generation Kindle Dxs),,",Amazon Echo White,43,9,4.777777777777778,worst
"Amazon Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case - Blue",Amazon Fire Kids Edition,29,6,4.833333333333333,best
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon Fire Kids Edition,8114,1685,4.815430267062315,best
Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,Amazon Fire Kids Edition,4964,1033,4.805421103581801,best
"Amazon Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case - Blue",Amazon Fire Kids Edition,29,6,4.833333333333333,worst
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon Fire Kids Edition,8114,1685,4.815430267062315,worst
Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,Amazon Fire Kids Edition,4964,1033,4.805421103581801,worst
"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum",Amazon Fire Tablet,632,128,4.9375,best
Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,Amazon Fire Tablet,659,135,4.881481481481481,best
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Amazon Fire Tablet,1778,368,4.831521739130435,best
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Amazon Fire Tablet,52133,10962,4.755792738551359,worst
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Amazon Fire Tablet,687,146,4.705479452054795,worst
"Echo (White) Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Tangerine""",Amazon Fire Tablet,4,1,4.0,worst
Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st) Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st),Amazon Fire Tv,5,1,5.0,best
Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st) Kindle Paperwhite,Amazon Fire Tv,5,1,5.0,best
Coconut Water Red Tea 16.5 Oz (pack of 12) Amazon Fire Tv,Amazon Fire Tv,5,1,5.0,best
"Amazon - Fire 16GB (5th Gen, 2015 Release) - Black Amazon - Fire 16GB (5th Gen, 2015 Release) - Black",Amazon Fire Tv,23,5,4.6,worst
Amazon Kindle Fire Hd (3rd Generation) 8gb Amazon Kindle Fire Hd (3rd Generation) 8gb,Amazon Fire Tv,9,2,4.5,worst
Certified Refurbished Amazon Fire TV (Previous Generation - 1st) Certified Refurbished Amazon Fire TV (Previous Generation - 1st),Amazon Fire Tv,13,3,4.333333333333333,worst
Amazon Kindle Fire 5ft USB to Micro-USB Cable (works with most Micro-USB Tablets) Amazon Kindle Fire 5ft USB to Micro-USB Cable (works with most Micro-USB Tablets),Amazon Kindle Paperwhite,20,4,5.0,best
Kindle Paperwhite Kindle Paperwhite,Amazon Kindle Paperwhite,44,9,4.888888888888889,best
Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,Amazon Kindle Paperwhite,15470,3176,4.870906801007557,best
Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,Amazon Kindle Paperwhite,121,25,4.84,worst
"All-New Kindle E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers,,",Amazon Kindle Paperwhite,1018,212,4.80188679245283,worst
Kindle Keyboard Kindle Keyboard,Amazon Kindle Paperwhite,9,2,4.5,worst
"Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"",",Amazon Portable Speaker,6,1,6.0,best
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,Amazon Portable Speaker,1553,318,4.883647798742138,best
"Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers,",Amazon Portable Speaker,68,14,4.857142857142857,best
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,Amazon Portable Speaker,1553,318,4.883647798742138,worst
"Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers,",Amazon Portable Speaker,68,14,4.857142857142857,worst
"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",Amazon Portable Speaker,28,6,4.666666666666667,worst
New Amazon Kindle Fire Hd 9w Powerfast Adapter Charger + Micro Usb Angle Cable New Amazon Kindle Fire Hd 9w Powerfast Adapter Charger + Micro Usb Angle Cable,Charger & Accessories,31,6,5.166666666666667,best
"Amazon Fire Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders",Charger & Accessories,5,1,5.0,best
Amazon Kindle Lighted Leather Cover Amazon Kindle Lighted Leather Cover,Charger & Accessories,10,2,5.0,best
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,Charger & Accessories,988,207,4.7729468599033815,worst
Amazon Kindle Lighted Leather Cover Kindle Keyboard,Charger & Accessories,4,1,4.0,worst
Amazon Standing Protective Case for Fire HD 6 (4th Generation) - Black Amazon Standing Protective Case for Fire HD 6 (4th Generation) - Black,Charger & Accessories,4,1,4.0,worst
